lat,lon,id
37.358594, -88.919156, 1
41.80800418, -87.58900703, 2
39.4532783639, -87.4155096884, 3
39.4410783333, -88.1627361667, 4
42.2927100677, -85.148530556, 5
39.4712017408, -88.1936910734, 6
40.9798075632, -81.3047336788, 7
41.1012884709, -83.1792231645, 8
38.7248236493, -83.1785495849, 9
39.5817333333, -82.0146111167, 10
40.699795, -82.53702, 11
40.3729181, -82.3967142, 12
39.1298138333, -84.5002366667, 13
38.9642299915, -77.3278066023, 14
41.326536748, -81.4385604858, 15
38.7709536727, -77.2703889733, 16
38.94863, -77.3300333333, 17
37.7559179311, -83.9149260521, 18
36.6652793884, -84.4941940308, 19
39.5883851759, -79.9864799835, 20
38.7814325094, -76.710026823, 21
39.0982421491, -76.7286836462, 22
39.09078154, -77.12346602, 23
39.1265712307, -76.8781313699, 24
39.0171668581, -76.7995197217, 25
35.7945046404, -78.68952847, 26
35.5280715306, -82.3568541754, 27
35.8827725, -78.9871598, 28
35.8057043825, -79.0707965844, 29
35.8133333333, -81.1672222222, 30
34.8841629028, -82.2802352905, 31
33.2621033333, -87.5149916667, 32
33.4223913032, -86.7678254792, 33
34.419152039, -85.616389241, 34
34.2233266246, -86.161356589, 35
32.0110664637, -85.4421526885, 36
32.788461, -86.871655, 37
33.4582361919, -85.5765152047, 38